Suite,Section,Title,Type,Priority,Business Rule,API Endpoint,Preconditions,Steps,Expected Result,Custom Fields Error Code
TSP Token Vault,17 Security & Fraud Controls,TAL returned per ID&V method,Security,Critical,,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). TAL based on ID&V.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 200,201
3. Run 2 pm.test() assertions","HTTP 200,201, all assertions pass",
TSP Token Vault,18 Error Code Validation,ACCOUNT_NOT_ELIGIBLE,Functional,Medium,R1,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). Validate ACCOUNT_NOT_ELIGIBLE error.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, all assertions pass",ACCOUNT_NOT_ELIGIBLE
TSP Token Vault,18 Error Code Validation,TOKEN_RANGE_EXHAUSTED,Functional,Medium,R3,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). Validate TOKEN_RANGE_EXHAUSTED.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, all assertions pass",TOKEN_RANGE_EXHAUSTED
TSP Token Vault,18 Error Code Validation,EXPIRY_QUARTER_MISMATCH,Negative,High,R4,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,Full setup flow completed (steps 01-11). Validate EXPIRY_QUARTER_MISMATCH.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 422
3. Run 2 pm.test() assertions","HTTP 422, all assertions pass",EXPIRY_QUARTER_MISMATCH
TSP Token Vault,18 Error Code Validation,BIN_RANGE_OVERLAP_DETECTED,Functional,Medium,R6,POST {{baseUrl_tvm}}/tvm/api/token-range,Full setup flow completed (steps 01-11). Validate BIN_RANGE_OVERLAP_DETECTED.,"1. POST {{baseUrl_tvm}}/tvm/api/token-range
2. Verify HTTP 400,409
3. Run 2 pm.test() assertions","HTTP 400,409, all assertions pass",BIN_RANGE_OVERLAP_DETECTED
TSP Token Vault,18 Error Code Validation,INVALID_TOKEN_FORMAT,Negative,High,,POST {{baseUrl_tvm}}/tvm/api/tokens/detokenize,Full setup flow completed (steps 01-11). Non-numeric token.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/detokenize
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, all assertions pass",INVALID_TOKEN_FORMAT
TSP Token Vault,18 Error Code Validation,TOKEN_DOMAIN_VIOLATION,Functional,Medium,,POST {{baseUrl_tvm}}/tvm/api/tokens/authorize,Full setup flow completed (steps 01-11). Domain violation.,"1. POST {{baseUrl_tvm}}/tvm/api/tokens/authorize
2. Verify HTTP 403,422
3. Run 2 pm.test() assertions","HTTP 403,422, all assertions pass",TOKEN_DOMAIN_VIOLATION
TSP Token Vault,18 Error Code Validation,Empty required fields,Negative,High,,POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize,"Full setup flow completed (steps 01-11). Validate error response includes errorCode, errorMessage, traceId, timestamp.","1. POST {{baseUrl_tvm}}/tvm/api/tokens/tokenize
2. Verify HTTP 400
3. Run 2 pm.test() assertions","HTTP 400, all assertions pass",MISSING_REQUIRED_FIELDS
TSP Token Vault,01a Vault — Multi-BIN Type Scenarios,Vault Shared Between Proprietary BIN and Scheme BIN — Happy Path,Functional,Critical,Pre-requisite,POST /rgm/api/vaults,No vault exists for tspCode=998. Two BINs planned: one proprietary (brandType=06) and one scheme (e.g. Visa brandType=03). Service running.,"1. Send POST /rgm/api/vaults with body: {""tspCode"":""998"",""tokenVaultName"":""Mixed BIN Vault"",""custodianIdList"":[""{{generatedCustodian1}}"",""{{generatedCustodian2}}""]}
2. Verify HTTP 200 or 201 and extract vaultId
3. Register proprietary BIN under vaultId: POST /tvm/api/bin/single with brandType=06, binValue={{generatedProprietaryBin}}
4. Register scheme BIN under same vaultId: POST /tvm/api/bin/single with brandType=03, binValue={{generatedSchemeBin}}
5. Verify both binIds returned and stored
6. Verify both BINs are linked to the same vaultId in GET /tvm/api/bin or equivalent listing endpoint",HTTP 200/201 for vault creation. Both BIN registrations succeed with distinct binIds. Both binIds are associated with the same vaultId. Vault correctly holds heterogeneous BIN types without conflict. brandType=06 (proprietary) and brandType=03 (scheme) coexist under one vault.,
TSP Token Vault,01a Vault — Multi-BIN Type Scenarios,Vault — Tokenization for Proprietary BIN Card While Scheme BIN Also Active in Same Vault,Functional,Critical,Rule 1,POST /api/tokens/tokenize,"Mixed BIN Vault created (TC above). Proprietary BIN (brandType=06) registered with binId={{proprietaryBinId}}. Scheme BIN (brandType=03) also registered in same vault with binId={{schemeBinId}}. Account ranges, token ranges configured for BOTH BINs. requestorTransportKey available.","1. Prepare tokenization for a PAN belonging to the PROPRIETARY BIN range: POST /api/mocker/encrypt/card-holder-data with pan={{proprietaryPan}} (prefix matches proprietaryBinValue)
2. Send POST /api/tokens/tokenize with X-TSP-TR-ID: {{tokenRequestorId}}, cipherText, deviceInfo, mac
3. Verify HTTP 200 and extract tokenizedCipherText
4. Decrypt token: POST /api/decryption with tokenizedCipherText
5. Verify issued token is from the PROPRIETARY token range (not scheme range)
6. Repeat steps 1–5 using a PAN from the SCHEME BIN range: pan={{schemePan}}
7. Verify second token is drawn from the SCHEME token range",Both tokenization calls succeed with HTTP 200. Token issued for proprietary PAN falls within the proprietary token range. Token issued for scheme PAN falls within the scheme token range. Vault correctly routes tokenization to the correct BIN/token-range based on PAN prefix. No cross-contamination between proprietary and scheme ranges.,
TSP Token Vault,01a Vault — Multi-BIN Type Scenarios,Vault — Detokenization Correctly Identifies BIN Type (Proprietary vs Scheme),Functional,High,De-tokenization Rule,POST /tvm/api/tokens/de-tokenize/issuer,"Both proprietary and scheme tokens issued (TCs above). proprietaryToken and schemeToken stored. vaultId, tokenRequestorId available.","1. De-tokenize the proprietary token: POST /tvm/api/tokens/de-tokenize/issuer with header X-TV-ID={{vaultId}}, body: {mode:VERIFY, token:{{proprietaryToken}}, tokenExpiry:09/27, tokenRequestorId:{{tokenRequestorId}}, txData:{posEntryMode:07, merchantId:123456789012345}}
2. Decrypt cipherText from response and verify returned PAN belongs to proprietaryBin prefix
3. De-tokenize the scheme token using the same vault
4. Decrypt and verify returned PAN belongs to schemeBin prefix
5. Confirm each detokenized PAN maps back to its correct BIN type",HTTP 200 for both detokenization calls. Decrypted PAN from proprietary token starts with proprietaryBinValue prefix. Decrypted PAN from scheme token starts with schemeBinValue prefix. Vault correctly maps token → original PAN for both BIN types independently.,
TSP Token Vault,01a Vault — Multi-BIN Type Scenarios,Vault — Cross-BIN Tokenization Routing Error (Wrong BIN Type Token Range),Negative,High,Rule 1,POST /api/tokens/tokenize,Mixed BIN Vault. Proprietary BIN token range is 9100000–9200000. Scheme BIN token range is 9500000–9600000. Attempt to force routing to wrong range. Account ranges configured for both BINs.,"1. Prepare tokenization with proprietary PAN but inject scheme tokenRequestorId or BIN hint in header
2. Send POST /api/tokens/tokenize
3. Verify the system does NOT issue a token from the scheme range for a proprietary BIN PAN",HTTP 400 or 422. System detects BIN/requestor mismatch. Token is NOT issued from the wrong range. Error indicates ACCOUNT_NOT_ELIGIBLE or BIN_MISMATCH or equivalent. Vault enforces correct routing per BIN type.,ACCOUNT_NOT_ELIGIBLE
TSP Token Vault,01b Vault — Already-Issued Card Scenarios,Proprietary BIN — Re-Tokenization of Already-Issued Card (Idempotency),Functional,Critical,Idempotency Rule,POST /api/tokens/tokenize,"Vault created. Proprietary BIN registered. TC-TOK-001 already executed: token T1 issued for pan={{proprietaryPan}}. issuedToken (T1) stored. requestorTransportKey, tokenRequestorId, deviceInfo available.","1. Prepare the same PAN again: POST /api/mocker/encrypt/card-holder-data with pan={{proprietaryPan}}, same deviceInfo
2. Send POST /api/tokens/tokenize with same X-TSP-TR-ID={{tokenRequestorId}}
3. Decrypt response cipherText: POST /api/decryption
4. Compare decrypted token T2 with previously issued token T1
5. Verify T1 == T2 (idempotent issuance for same PAN + same requestor)",HTTP 200. Re-tokenization of same already-issued proprietary PAN by same requestor returns the same token. T2 == T1 after decryption. No duplicate token created. EMVCo idempotency rule satisfied for proprietary BIN cards.,
TSP Token Vault,01b Vault — Already-Issued Card Scenarios,Proprietary BIN — Already-Issued Card Tokenized by Different Requestor (Separate Token),Functional,High,Rule 5,POST /api/tokens/tokenize,Token T1 already issued for pan={{proprietaryPan}} by tokenRequestorId={{TR_A}}. A second token requestor tokenRequestorId={{TR_B}} is registered in same vault. Same proprietary PAN pan={{proprietaryPan}} used.,"1. Prepare tokenization for pan={{proprietaryPan}}: POST /api/mocker/encrypt/card-holder-data
2. Send POST /api/tokens/tokenize with X-TSP-TR-ID={{TR_B}} (different requestor)
3. Decrypt response cipherText from TR_B
4. Verify token T2 (from TR_B) is DIFFERENT from token T1 (issued by TR_A)
5. Verify both T1 and T2 are independently valid and active","HTTP 200. A separate, unique token T2 is issued for the same proprietary PAN when requested by a different Token Requestor. T2 ≠ T1. Both tokens are independently active and detokenize to the same original PAN. EMVCo: one PAN may have multiple tokens, one per requestor.",
TSP Token Vault,01b Vault — Already-Issued Card Scenarios,Proprietary BIN — Detokenize Already-Issued Card Token (Active State),Functional,Critical,De-tokenization Rule,POST /tvm/api/tokens/de-tokenize/issuer,"Token T1 already issued and active for proprietary BIN card. issuedToken={{T1}}, vaultId, tokenRequestorId available. Token status = ACTIVE.","1. Send POST /tvm/api/tokens/de-tokenize/issuer with header X-TV-ID={{vaultId}}, body: {mode:VERIFY, token:{{T1}}, tokenExpiry:09/27, tokenRequestorId:{{tokenRequestorId}}, txData:{posEntryMode:07, merchantId:123456789012345}}
2. Verify HTTP 200
3. Decrypt cipherText from response
4. Confirm decrypted PAN matches the original proprietary PAN used during tokenization",HTTP 200. Detokenization of an already-issued proprietary BIN token succeeds. Decrypted PAN matches the original proprietary PAN. Token is confirmed ACTIVE and authorized for the given merchantId and posEntryMode.,
TSP Token Vault,01b Vault — Already-Issued Card Scenarios,Proprietary BIN — Attempt to Re-Issue Token After Expiry of Already-Issued Token,Negative,High,Token Expiry Rule,POST /api/tokens/tokenize,"Token T_EXPIRED was previously issued for pan={{proprietaryPan}} but has now expired (tokenExpiry is in the past). vaultId, tokenRequestorId, requestorTransportKey available.","1. Prepare tokenization: POST /api/mocker/encrypt/card-holder-data with pan={{proprietaryPan}}, expiry=08/28
2. Send POST /api/tokens/tokenize with X-TSP-TR-ID={{tokenRequestorId}}
3. If system auto-reissues: verify new token T_NEW is issued (different from T_EXPIRED)
4. If system rejects: verify error body indicates TOKEN_EXPIRED or equivalent
5. Attempt to detokenize T_EXPIRED: verify it is rejected","Scenario A (auto-renewal): HTTP 200. New token T_NEW issued. T_NEW ≠ T_EXPIRED. Old expired token T_EXPIRED returns error on detokenize.
Scenario B (rejection): HTTP 400 or 422. Error body contains TOKEN_EXPIRED or INACTIVE_TOKEN. Card holder must re-enroll.
In both cases: expired token T_EXPIRED must NOT be usable for detokenization.",TOKEN_EXPIRED
TSP Token Vault,01b Vault — Already-Issued Card Scenarios,Proprietary BIN — Detokenize an Expired / Inactive Token (Negative),Negative,High,Token Lifecycle Rule,POST /tvm/api/tokens/de-tokenize/issuer,"Token T_EXPIRED issued for proprietary BIN card. Token status is EXPIRED or INACTIVE. vaultId, tokenRequestorId available.","1. Send POST /tvm/api/tokens/de-tokenize/issuer with header X-TV-ID={{vaultId}}, body: {mode:VERIFY, token:{{T_EXPIRED}}, tokenExpiry:01/23 (past date), tokenRequestorId:{{tokenRequestorId}}, txData:{posEntryMode:07, merchantId:123456789012345}}
2. Verify HTTP response code
3. Verify error body indicates token is expired or inactive","HTTP 400 or 422. Expired/inactive token rejected for detokenization. Error body contains TOKEN_EXPIRED, INACTIVE_TOKEN, or INVALID_TOKEN_STATUS. No PAN data returned.",TOKEN_EXPIRED
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — Device Without NFC Capability Cannot Initiate Card Tokenization,Functional,Critical,Device Capability Rule,POST /api/tokens/tokenize,"Full setup (steps 01–11) completed. Token requestor is a wallet application. deviceInfo.nfcCapable=false (device hardware has no NFC). requestorTransportKey, tokenRequestorId available.","1. Prepare tokenization: POST /api/mocker/encrypt/card-holder-data with pan={{generatedPan}}, deviceInfo: {deviceId:""NFC_LESS_DEVICE_001"", nfcCapable:false, walletId:{{walletId}}, seId:{{seId}}, fingerPrint:{{fingerPrint}}}
2. Send POST /api/tokens/tokenize with X-TSP-TR-ID={{tokenRequestorId}}, cipherText from step 1, deviceInfo with nfcCapable=false
3. Verify HTTP response code
4. Verify error body indicates NFC capability missing","HTTP 400 or 422. Tokenization request rejected because device does not have NFC hardware capability. Error body contains NFC_NOT_CAPABLE, DEVICE_NOT_ELIGIBLE, or UNSUPPORTED_DEVICE_TYPE. No token issued. Wallet must inform card holder that the device cannot support NFC-based tokenization.",DEVICE_NOT_ELIGIBLE
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — Device Has NFC Hardware But NFC Is Currently Disabled (Software Off),Functional,Critical,Device Capability Rule,POST /api/tokens/tokenize,"Full setup completed. Device has NFC hardware (nfcCapable=true) but NFC is turned off in device settings (nfcEnabled=false). requestorTransportKey, tokenRequestorId, pan={{generatedPan}} available.","1. Prepare tokenization: POST /api/mocker/encrypt/card-holder-data with pan={{generatedPan}}, deviceInfo: {deviceId:""NFC_CAPABLE_DISABLED_002"", nfcCapable:true, nfcEnabled:false, walletId:{{walletId}}, seId:{{seId}}, fingerPrint:{{fingerPrint}}}
2. Send POST /api/tokens/tokenize with X-TSP-TR-ID={{tokenRequestorId}}, cipherText, deviceInfo above
3. Verify HTTP response code
4. Verify error body distinguishes ""NFC disabled"" from ""no NFC hardware""","HTTP 400 or 422. Tokenization rejected because NFC is disabled on the device at the time of request. Error body contains NFC_DISABLED, NFC_NOT_ENABLED, or DEVICE_NFC_INACTIVE. Error is distinct from DEVICE_NOT_ELIGIBLE (no hardware) — the error message MUST indicate NFC can be enabled. No token issued. Wallet should prompt user to enable NFC and retry.",NFC_DISABLED
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — NFC Enabled Mid-Session: Retry After Enabling NFC Succeeds,Functional,High,Device Capability Rule,POST /api/tokens/tokenize,"Previous TC confirmed NFC-disabled device is rejected. Same device now has NFC enabled (nfcEnabled=true). requestorTransportKey, tokenRequestorId, pan={{generatedPan}} available.","1. Re-prepare tokenization with same pan={{generatedPan}}, same deviceId, but now deviceInfo: {nfcCapable:true, nfcEnabled:true, walletId:{{walletId}}, seId:{{seId}}, fingerPrint:{{fingerPrint}}}
2. Send POST /api/tokens/tokenize with X-TSP-TR-ID={{tokenRequestorId}}
3. Verify HTTP 200
4. Verify token issued and tokenizedCipherText stored","HTTP 200. After enabling NFC, the same device successfully obtains a token. tokenizedCipherText and mac returned. System correctly re-evaluates device eligibility based on current NFC state, not cached state.",
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — NFC Disabled During Active Token Lifecycle (Token Remains Valid),Functional,Medium,Token Lifecycle Rule,POST /tvm/api/tokens/de-tokenize/issuer,"Token T1 was issued when device had NFC enabled. Device NFC subsequently disabled. Token T1 is still within expiry. vaultId, tokenRequestorId available.","1. Attempt detokenization of T1: POST /tvm/api/tokens/de-tokenize/issuer with header X-TV-ID={{vaultId}}, body: {mode:VERIFY, token:{{T1}}, tokenExpiry:09/27, tokenRequestorId:{{tokenRequestorId}}, txData:{posEntryMode:07, merchantId:123456789012345}}
2. Verify HTTP response code
3. Confirm whether the system checks current device NFC state at detokenize time or only at issuance time","HTTP 200. Detokenization of an already-issued, non-expired token succeeds regardless of current device NFC state. NFC state is validated at token ISSUANCE, not at detokenization. Token remains active and usable. PAN returned in encrypted form.",
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — Multi-Scheme Wallet: Proprietary BIN Card Tokenization,Functional,Critical,Rule 1,POST /api/tokens/tokenize,"Wallet supports multiple card schemes (e.g. Visa brandType=03, Mastercard brandType=02) AND proprietary BIN (brandType=06). All three BINs registered in the same vault. Account ranges and token ranges configured for each. NFC-capable and NFC-enabled device. requestorTransportKey, tokenRequestorId available.","1. Prepare tokenization for PROPRIETARY card: POST /api/mocker/encrypt/card-holder-data with pan={{proprietaryPan}}, deviceInfo: {nfcCapable:true, nfcEnabled:true, walletId:{{multiSchemeWalletId}}, deviceId:{{deviceId}}, seId:{{seId}}, fingerPrint:{{fingerPrint}}}
2. Send POST /api/tokens/tokenize with X-TSP-TR-ID={{tokenRequestorId}}
3. Verify HTTP 200, extract and decrypt token — confirm token range is from proprietaryBin token range
4. Prepare tokenization for SCHEME card (e.g. Mastercard): pan={{mastercardPan}}
5. Repeat tokenize call — verify token drawn from Mastercard token range
6. Prepare tokenization for second SCHEME card (e.g. Visa): pan={{visaPan}}
7. Repeat tokenize call — verify token drawn from Visa token range","HTTP 200 for all three tokenization calls. Each card type receives a token from its correct, isolated token range. Proprietary, Mastercard, and Visa tokens do not overlap. Multi-scheme wallet correctly registers and differentiates all card types. Vault routing by PAN prefix (BIN) is accurate across all schemes.",
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — Multi-Scheme Wallet: Detokenization Returns Correct PAN Per Scheme,Functional,Critical,De-tokenization Rule,POST /tvm/api/tokens/de-tokenize/issuer,"Three tokens issued (TC above): proprietaryToken, mastercardToken, visaToken. All stored. vaultId, tokenRequestorId available. All tokens ACTIVE.","1. Detokenize proprietaryToken: POST /tvm/api/tokens/de-tokenize/issuer with token={{proprietaryToken}}
2. Decrypt and verify PAN prefix matches proprietaryBinValue
3. Detokenize mastercardToken — verify PAN prefix matches mastercardBinValue
4. Detokenize visaToken — verify PAN prefix matches visaBinValue
5. Confirm no cross-scheme PAN leakage (proprietary token never resolves to scheme PAN)","HTTP 200 for all three detokenization calls. Each token resolves exclusively to its own original PAN. Proprietary token → proprietary PAN, Mastercard token → Mastercard PAN, Visa token → Visa PAN. No cross-scheme PAN leakage. Vault correctly maintains isolation per BIN type even in a shared vault.",
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — Multi-Scheme Wallet with NFC Disabled: All Card Tokenizations Blocked,Functional,High,Device Capability Rule,POST /api/tokens/tokenize,"Multi-scheme wallet configured with proprietary, Mastercard, and Visa BINs. Device has NFC hardware but NFC is currently DISABLED (nfcEnabled=false). requestorTransportKey, tokenRequestorId available.","1. Attempt tokenization for proprietary PAN with nfcEnabled=false in deviceInfo
2. Verify HTTP 400/422 and NFC_DISABLED error
3. Attempt tokenization for Mastercard PAN with nfcEnabled=false
4. Verify same NFC_DISABLED error regardless of card scheme
5. Attempt tokenization for Visa PAN with nfcEnabled=false
6. Verify NFC_DISABLED applies uniformly across all card types",HTTP 400 or 422 for all three attempts. NFC_DISABLED or NFC_NOT_ENABLED error returned consistently for all card schemes. NFC device check is card-scheme-agnostic — applies equally to proprietary and scheme BINs. No tokens issued for any card type.,NFC_DISABLED
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,Wallet Token Request — Device With No NFC Attempts Tokenization of All Card Types (Negative),Negative,High,Device Capability Rule,POST /api/tokens/tokenize,"Multi-scheme wallet. Device has NO NFC hardware (nfcCapable=false). Valid PANs available for proprietary, Mastercard, and Visa BINs. requestorTransportKey, tokenRequestorId available.","1. Attempt tokenization for proprietary PAN: deviceInfo with nfcCapable=false
2. Verify HTTP 400/422 and DEVICE_NOT_ELIGIBLE error
3. Attempt tokenization for Mastercard PAN: same device
4. Verify DEVICE_NOT_ELIGIBLE for Mastercard attempt
5. Attempt tokenization for Visa PAN: same device
6. Verify error is consistent and no partial token issuance occurs",HTTP 400 or 422 for all attempts. DEVICE_NOT_ELIGIBLE error returned for each card type. System does not partially tokenize any scheme. Error code is stable and consistent regardless of card scheme or BIN type.,DEVICE_NOT_ELIGIBLE
TSP Token Vault,19 Wallet Token Request — Device & NFC Scenarios,"Wallet Token Request — EMVCo Tokenize + Detokenize Full Round-Trip (Multi-Scheme, NFC Enabled)",Functional,Critical,Rules 1+2+4 + De-tokenization Rule,POST /api/tokens/tokenize → POST /tvm/api/tokens/de-tokenize/issuer,"Full setup (steps 01–11) completed for both proprietary and scheme BINs in one vault. NFC-enabled device. Multi-scheme wallet. requestorTransportKey, tokenRequestorId available. Account ranges and token ranges configured for all BINs.","— TOKENIZATION PHASE —
1. POST /api/mocker/encrypt/card-holder-data: encrypt proprietary PAN pan={{proprietaryPan}} with deviceInfo (nfcCapable:true, nfcEnabled:true)
2. POST /api/tokens/tokenize: X-TSP-TR-ID={{tokenRequestorId}}, cipherText + deviceInfo + mac
3. Verify HTTP 200. Store tokenizedCipherText and tokenizedMac
4. POST /api/decryption: decrypt tokenizedCipherText with requestorTransportKey — store issuedToken
5. POST /api/validate-mac: validate tokenizedMac
— REPEAT for scheme PAN pan={{schemePan}} (steps 1–5) → store schemeToken —
— DETOKENIZATION PHASE —
6. POST /tvm/api/tokens/de-tokenize/issuer: header X-TV-ID={{vaultId}}, token={{issuedToken}} (proprietary)
7. Decrypt detokenization cipherText — confirm PAN == {{proprietaryPan}}
8. POST /tvm/api/tokens/de-tokenize/issuer: token={{schemeToken}}
9. Decrypt — confirm PAN == {{schemePan}}
10. Verify MAC on all responses","Complete EMVCo-compliant tokenization and detokenization round-trip succeeds for both proprietary and scheme BINs.
Tokenization: HTTP 200, tokens issued from correct ranges, MAC valid, response time < 3000ms.
Decryption: tokens pass Luhn check, format is 13–19 digits.
Detokenization: HTTP 200, decrypted PANs exactly match original inputs.
MAC validation: passes for all tokenized responses.
No cross-scheme token/PAN confusion. Vault integrity maintained end-to-end.",
